trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
123,0,123,0,304.90263699973,,304.78592369984835,10,304.90263699973,304.90263699973,0.08044240018352866,306.79157119989395,[-0.4025],[0.21],[1],[0],[0],[1.9271690002642572],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
124,0,124,0,306.8847197997384,,306.8116624997929,5,306.8847197997384,306.8847197997384,0.05075860023498535,310.170739099849,[0.35625],[-0.42],[1],[0],[0],[3.3112410004250705],[],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
125,0,125,0,310.3005858999677,,310.18314439989626,10,310.3005858999677,310.3005858999677,0.07993589993566275,313.3867997000925,[0.12125],[0.46625],[1],[0],[0],[3.126243300270289],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
126,0,126,0,313.51628769980744,,313.39837339986116,10,313.51628769980744,313.51628769980744,0.0878285001963377,316.989017999731,[0.49125],[0.14],[1],[0],[0],[3.5051347999833524],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
127,0,127,0,317.1151197999716,,317.01321429992095,5,317.1151197999716,317.1151197999716,0.07985450001433492,318.80324580008164,[-0.03],[0.1075],[1],[0],[0],[1.7150744004175067],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
128,0,128,0,318.9653833997436,,318.8166185999289,10,318.9653833997436,318.9653833997436,0.11085010040551424,321.45116729987785,[0.30375],[-0.1225],[1],[0],[0],[2.5261435001157224],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
129,0,129,0,321.5640320996754,,321.4609773000702,10,321.5640320996754,321.5640320996754,0.07682459987699986,323.96552099986,[0.37125],[-0.3825],[1],[0],[0],[2.4297616998665035],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
130,0,130,0,324.0640096999705,,323.97105839988217,10,324.0640096999705,324.0640096999705,0.05478530004620552,325.702073500026,[-0.09375],[0.17125],[1],[0],[0],[1.6761125000193715],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
131,0,131,0,325.8131206999533,,325.71949240006506,5,325.8131206999533,325.8131206999533,0.07608349993824959,327.4009926998988,[0.3025],[0.2275],[1],[0],[0],[1.6079163001850247],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
132,0,132,0,327.51281789969653,,327.41782049974427,5,327.51281789969653,327.51281789969653,0.060482699889689684,329.8659961000085,[0.48875],[0.1975],[1],[0],[0],[2.3903326001018286],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
133,0,133,0,329.9792494997382,,329.87965000001714,5,329.9792494997382,329.9792494997382,0.06533919973298907,331.58513019979,[0.19375],[-0.26],[1],[0],[0],[1.6432980000972748],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
134,0,134,0,331.7456851997413,,331.60923800012097,10,331.7456851997413,331.7456851997413,0.11657720012590289,334.5469789998606,[-0.45125],[0.44625],[1],[0],[0],[2.8269547997042537],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
135,0,135,0,334.66104379994795,,334.5560718998313,5,334.66104379994795,334.66104379994795,0.08444919995963573,336.4646501997486,[0.06625],[0.32125],[1],[0],[0],[1.8250873000361025],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
136,0,136,0,336.560748799704,,336.47930839983746,5,336.560748799704,336.560748799704,0.05238280026242137,339.3477189000696,[-0.2325],[-0.28125],[1],[0],[0],[2.8195009999908507],['target'],051461,001,2024-10-10_14h55.34.282,untitled,2024.1.5,None,2024-10-10 14h55.40.168871 +0530,
