reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,4,4,32,5,238.44688260019757,,238.41253600013442,238.44688260019757,239.4181424002163,239.4181424002163,239.46416339999996,245.31489380006678,t,5.893006399972364,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,4,5,33,4,245.3420608001761,,245.31692390004173,245.3420608001761,246.33049610001035,246.33049610001035,246.34713430004194,250.4194500001613,t,4.085248699877411,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
27,50,21,4,6,34,2,250.4537951000966,,250.42480320017785,250.4537951000966,251.42769570020027,251.42769570020027,251.46078910003416,258.76275540003553,t,7.328062900109217,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,5,0,35,0,258.7920198000502,,258.7649881001562,258.7920198000502,259.7751211000141,259.7751211000141,259.79157520015724,262.9098932000343,l,3.121526899980381,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,5,1,36,4,262.93415040010586,,262.9116359001491,262.93415040010586,263.9246416001115,263.9246416001115,263.94066110020503,267.7733201000374,t,3.8281306999269873,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,5,2,37,3,267.81090490007773,,267.77634290000424,267.81090490007773,268.79193500010297,268.79193500010297,268.83797360002063,273.22318890015595,t,4.413491800194606,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
67,75,119,5,3,38,5,273.24361940007657,,273.2248268001713,273.24361940007657,274.2392127001658,274.2392127001658,274.2557247001678,277.13813080010004,t,2.892873600125313,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,5,4,39,1,277.15549550019205,,277.1389676001854,277.15549550019205,278.15334230009466,278.15334230009466,278.1701683001593,281.13814240018837,l,2.9787042001262307,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
27,50,21,5,5,40,2,281.1545435001608,,281.1389221001882,281.1545435001608,282.15274360007606,282.15274360007606,282.1689427001402,288.7204468001146,t,6.553008199902251,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,5,6,41,6,288.7438188001979,,288.7221890001092,288.7438188001979,289.73852080013603,289.73852080013603,289.75529080000706,292.90487630013376,t,3.1545059999916703,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,6,0,42,4,292.93523040018044,,292.9070557001978,292.93523040018044,293.9184807999991,293.9184807999991,293.9356763001997,296.96710650017485,t,3.0391001999378204,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,6,1,43,6,296.9942214000039,,296.9681374002248,296.9942214000039,297.982955200132,297.982955200132,297.9989903001115,300.95135210012086,t,2.966503799892962,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,6,2,44,0,300.9705882000271,,300.9532727000769,300.9705882000271,301.96468330011703,301.96468330011703,301.9809474002104,304.5483087000903,l,2.5702933000866324,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
67,75,119,6,3,45,5,304.5656353000086,,304.54955009999685,304.5656353000086,305.56349960016087,305.56349960016087,305.58016470004804,311.4475518001709,t,5.870845399796963,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,6,4,46,3,311.4681689001154,,311.4488706002012,311.4681689001154,312.4640256999992,312.4640256999992,312.480398000218,316.42956300009973,t,3.9602030001115054,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,6,5,47,1,316.44817700004205,,316.43069670000114,316.44817700004205,317.4522886001505,317.4522886001505,317.4702509001363,323.4623957001604,l,6.007396799977869,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
